"gene","gene_name","zscore","effect_size","pvalue","var_g","pred_perf_r2","pred_perf_pval","pred_perf_qval","n_snps_used","n_snps_in_cov","n_snps_in_model","fdr"
"ENSG00000261340.1","LINC01616",-4.00283958339869,-0.109001723828837,6.25867406258331e-05,0.00476994372858373,0.0877169901255725,0.000143984647889614,NA,37,37,37,0.00439870191159024
"ENSG00000120647.9","CCDC77",3.98749092218341,0.0270755702389631,6.67757586035851e-05,0.0815202093764176,0.309773295125681,3.46379453066871e-15,NA,20,20,20,0.00462793104766513
"ENSG00000110536.13","PTPMT1",3.98317718505859,0.261214482127667,6.80000182817675e-05,0.000761801144715118,0.0265585746690716,0.0395638948418802,NA,1,1,1,0.0046482204277537
"ENSG00000135587.8","SMPD2",-3.97775514870578,-0.0864988584108743,6.95689549558236e-05,0.00689529747750006,0.060193120119605,0.00114912104978036,NA,25,25,25,0.00469120385445351
"ENSG00000110768.11","GTF2H1",3.97203847826262,0.0405828538208129,7.12602056068678e-05,0.0298904833395444,0.257282551129148,1.92367366768859e-12,NA,52,53,53,0.0047411790130436
"ENSG00000254872.3","RP13-870H17.3",-3.96818523115158,-0.103035706881251,7.24220342582794e-05,0.00577307030694362,0.135494216432638,1.27451313188865e-06,NA,3,3,3,0.00475507830195808
"ENSG00000172113.8","NME6",3.94312278441175,0.106129921094055,8.04274517202452e-05,0.00493264724125795,0.0713682440143853,0.00066182670331459,NA,35,36,36,0.00521211667641589
"ENSG00000119471.14","HSDL2",3.93193273173904,0.400265691177072,8.42656474915313e-05,0.000411743232532874,0.0598855388394762,0.00159534151043867,NA,3,3,3,0.00539084078183001
"ENSG00000205143.2","ARID3C",3.92522991747501,0.0359507526108674,8.66469385723425e-05,0.0437610012661097,0.218275517062997,2.4243070423039e-10,NA,9,9,9,0.00547301548703784
"ENSG00000183020.13","AP2A2",3.92100446767405,0.0745347545413315,8.81806278043495e-05,0.0096269164374527,0.13148445093926,1.70635015879471e-06,NA,39,39,39,0.0055002666592963
"ENSG00000082556.10","OPRK1",3.895753954105,0.1942641426475,9.78937288310698e-05,0.00177534154811773,0.0337662720809223,0.0172990811751676,NA,18,18,18,0.00603073712181529
"ENSG00000175166.16","PSMD2",3.86685551939817,0.105326312768751,0.000110247698685753,0.00565903096905705,0.127207426766344,1.15948231783992e-06,NA,5,5,5,0.00669112622221084
"ENSG00000148337.20","CIZ1",-3.86166872544733,-0.0583229994453302,0.000112615198432201,0.0167910218435989,0.0704545290710373,0.000641889552828857,NA,45,45,45,0.00669112622221084
"ENSG00000110975.8","SYT10",3.86162319183907,0.0680268539802571,0.00011263619291898,0.0120490168577371,0.0893312788635311,5.83719718958496e-05,NA,37,38,38,0.00669112622221084
"ENSG00000164978.17","NUDT2",-3.84232641968435,-0.0315117866740578,0.000121873602445854,0.0518192189668524,0.429846693505901,1.42414684045186e-22,NA,54,54,54,0.00709642868074928
"ENSG00000269473.1","CTD-2619J13.19",-3.84146298813315,-0.0578022053615195,0.000122303179668224,0.016668181783988,0.0268001167531709,0.0371651725634647,NA,25,25,25,0.00709642868074928
"ENSG00000196365.11","LONP1",3.82693736196355,0.0537631083625767,0.000129747514325636,0.0166891412268012,0.180618124487141,7.48382545979115e-09,NA,6,6,6,0.00744184018948188
"ENSG00000204525.16","HLA-C",3.81876971037084,0.0240229607834645,0.000134118893733872,0.0912577181992039,0.433921737295764,3.71067467897533e-23,NA,70,70,70,0.00750422699416977
"ENSG00000162620.15","LRRIQ3",3.81557657712617,0.0277288078263958,0.000135865311903324,0.0678704222975218,0.244185322231415,2.43527277914363e-12,NA,47,49,49,0.00750422699416977
"ENSG00000176909.11","MAMSTR",-3.81395926943261,-0.0529049424457632,0.000136758017080202,0.0201321073156168,0.0937340648004698,4.70455044754674e-05,NA,20,20,20,0.00750422699416977
"ENSG00000123427.16","METTL21B",3.81136916347651,0.0211233872288079,0.000138199197164514,0.112045863561872,0.484269347388068,2.81382496375799e-27,NA,23,23,23,0.00750422699416977
"ENSG00000204536.13","CCHCR1",3.80888656430622,0.123795186921813,0.000139593976599794,0.0033387970243367,0.02467175674935,0.0399351292837256,NA,15,16,16,0.00750422699416977
"ENSG00000112130.16","RNF8",3.80841865554679,0.0689474970827747,0.000139858338769096,0.0113169876106134,0.152559810775406,1.32615387760545e-07,NA,11,11,11,0.00750422699416977
"ENSG00000198937.8","CCDC167",3.80065678336364,0.0617248323051692,0.00014431307426696,0.0131110446044303,0.276411969540764,4.37723297721991e-14,NA,21,21,21,0.00758542489349117
"ENSG00000083807.9","SLC27A5",-3.80048716770105,-0.0618179901389725,0.000144411896769872,0.0148899702058423,0.217993526554889,2.75804023720754e-10,NA,21,21,21,0.00758542489349117
"ENSG00000169592.14","INO80E",-3.79673801711629,-0.0626388147325156,0.000146612589705632,0.0134082604004834,0.137064252232891,9.49113099912561e-07,NA,32,32,32,0.00761256228618121
"ENSG00000107833.10","NPM3",3.79443562559708,0.0512980822572283,0.00014797966768729,0.0171669347484307,0.161498630811779,4.28663398480273e-08,NA,9,9,9,0.00761256228618121
"ENSG00000168913.6","ENHO",3.78697313426323,0.137476060565715,0.000152493580744264,0.00271102567394899,0.121356679822387,6.0656970535356e-06,NA,5,5,5,0.0077647241623865
"ENSG00000100197.20","CYP2D6",-3.75120878218809,-0.0285926187176604,0.000175984076919435,0.0580786965064173,0.387442577763317,9.98331785645644e-20,NA,7,7,7,0.00887030852351496
"ENSG00000225206.8","MIR137HG",-3.74323377666284,-0.0747022168672443,0.000181667065027647,0.00975058615485782,0.136798140828442,8.76336288426127e-07,NA,27,27,27,0.00906518654487959
"ENSG00000246379.6","RP11-461O7.1",-3.7301998969965,-0.0966744402769002,0.00019132791292087,0.00384150311487352,0.0480934239501058,0.00445254014915839,NA,18,18,18,0.00937230275612175
"ENSG00000182809.10","CRIP2",-3.7272942122526,-0.113562660733091,0.000193546477147126,0.00397785429432896,0.079033514174542,0.00025991258965946,NA,7,7,7,0.00937230275612175
"ENSG00000182628.12","SKA2",3.72701593998094,0.0837829520003897,0.00019376020885267,0.00716342749043919,0.141014093990521,2.50409620606377e-07,NA,30,30,30,0.00937230275612175
"ENSG00000138688.15","KIAA1109",3.72497501666597,0.0536273055429858,0.000195334566460253,0.0149750738614138,0.171820862380377,3.38578665237707e-08,NA,23,23,23,0.00937230275612175
