"gene","gene_name","zscore","effect_size","pvalue","var_g","pred_perf_r2","pred_perf_pval","pred_perf_qval","n_snps_used","n_snps_in_cov","n_snps_in_model","fdr"
"ENSG00000164053.19","ATRIP",-3.97591342117569,-0.0427368416584975,7.01096307568244e-05,0.0307700018022144,0.103065499946028,7.47672221358247e-05,NA,23,25,25,0.00480965475671554
"ENSG00000127952.16","STYXL1",3.97239320428164,0.0296883545781446,7.11541397308344e-05,0.0699933173589536,0.411098170773726,1.05421135118325e-19,NA,21,22,22,0.00480965475671554
"ENSG00000250673.2","RP11-6L6.2",3.96807828764066,0.0430838201466135,7.24545339259297e-05,0.0305884143215939,0.101126628794399,6.24749140899512e-05,NA,59,59,59,0.00480965475671554
"ENSG00000114805.16","PLCH1",3.96617930092514,0.0659551134521008,7.30339300645625e-05,0.0135478262028286,0.0446620061027675,0.0096456759960283,NA,29,29,29,0.00480965475671554
"ENSG00000204104.11","TRAF3IP1",3.96172718298647,0.0559654918885416,7.44095346728223e-05,0.0222959756886842,0.0846729605162018,0.000241424970555698,NA,65,65,65,0.00483024179361864
"ENSG00000198270.12","TMEM116",-3.95371167107673,-0.111355218398304,7.69481284632358e-05,0.00458386411130212,0.0260007750534134,0.0479528906035539,NA,5,5,5,0.00489673056704727
"ENSG00000179979.8","CRIPAK",3.95172756775837,0.025190955120721,7.75890406750447e-05,0.0824409416276741,0.173091446930263,7.01211189355913e-08,NA,53,53,53,0.00489673056704727
"ENSG00000164045.11","CDC25A",-3.93735179520665,-0.048086039298478,8.23857828342871e-05,0.0260366563315707,0.0481859355837471,0.0077926671447212,NA,29,29,29,0.00506425586060058
"ENSG00000135535.15","CD164",3.93671047299769,0.100773403053883,8.26061707167673e-05,0.00512530011109128,0.13996619983357,2.73013973673156e-06,NA,26,26,26,0.00506425586060058
"ENSG00000204525.16","HLA-C",3.93387584862846,0.0253618028045057,8.35869695301592e-05,0.0845262401533976,0.432792912763126,3.2496918828741e-22,NA,43,45,45,0.00506425586060058
"ENSG00000165917.9","RAPSN",-3.92564816324994,-0.0668259478072165,8.64965086355406e-05,0.0110470337092678,0.0269983478198615,0.043389526829955,NA,27,27,27,0.00510674532161327
"ENSG00000102967.11","DHODH",3.92332480527489,0.0351988069399247,8.73352806243711e-05,0.0471355237044022,0.21676444916268,1.40884786220986e-10,NA,37,37,37,0.00510674532161327
"ENSG00000242441.7","GTF2A1L",3.92243155207755,0.037364113064944,8.76598008551573e-05,0.0386254788280675,0.0920860976012613,0.000165131612268697,NA,13,13,13,0.00510674532161327
"ENSG00000214043.7","RP5-944M2.3",3.91434454517163,0.0777778439345827,9.06501174847517e-05,0.00906212117313085,0.0757842319014929,0.000548844034866353,NA,27,28,28,0.00521410296013559
"ENSG00000143340.6","FAM163A",3.9082742439866,0.0551056201643382,9.29577532257136e-05,0.01930584171551,0.189433363006117,2.07309932303603e-08,NA,23,24,24,0.00528000038322053
"ENSG00000198933.9","TBKBP1",3.90015034421988,0.0533834990094848,9.6132972140379e-05,0.0193172667710675,0.14532995649223,1.55860277463603e-06,NA,51,51,51,0.00539294105439361
"ENSG00000167272.10","POP5",-3.88691665174259,-0.0742780697656515,0.000101525594207467,0.0102266151580249,0.0976022613771694,0.000116748557791371,NA,18,18,18,0.00562600365949671
"ENSG00000161281.10","COX7A1",3.88225683161845,0.0295816153949818,0.000103491486912138,0.0607042878742566,0.118552541905087,1.66298263349441e-05,NA,83,84,84,0.00566584718709343
"ENSG00000157036.12","EXOG",3.86662034436613,0.0872571945687392,0.000110354019693801,0.00879175272196101,0.0417792324637084,0.0129771579515321,NA,19,19,19,0.00596962697010276
"ENSG00000101665.8","SMAD7",-3.85420176659337,-0.149754587560975,0.000116107817137516,0.00270761287853066,0.0323229781985643,0.0286879731923198,NA,2,2,2,0.00620698730673968
"ENSG00000169738.7","DCXR",3.84333330424555,0.114138327360043,0.00012137445073281,0.00426457866195246,0.114966854777272,1.62974090749153e-05,NA,19,19,19,0.00641308725732429
"ENSG00000254880.1","PKNOX2-AS1",-3.82358421582313,-0.0436494543581764,0.000131525639102714,0.0258505683858238,0.0990383003262593,9.71102252093548e-05,NA,15,15,15,0.00681366033226811
"ENSG00000123427.16","METTL21B",3.82098561599325,0.0244945212011555,0.000132919405246939,0.0806576787312737,0.378182275919302,3.50998939561783e-18,NA,35,35,35,0.00681366033226811
"ENSG00000173540.12","GMPPB",-3.81999537835417,-0.02675855276963,0.000133454174641695,0.0666113399107672,0.281907060061652,5.7534715478288e-13,NA,63,64,64,0.00681366033226811
"ENSG00000178966.16","RMI1",-3.79819008528905,-0.0756703320831471,0.000145756527845074,0.00831123614339093,0.039808066145758,0.0149087853007163,NA,42,42,42,0.00735908513920018
"ENSG00000109919.9","MTCH2",3.77657653241952,0.0508729546046401,0.000158998719191221,0.0167348189245796,0.135644163168265,3.26028650269772e-06,NA,28,28,28,0.00785555777483814
"ENSG00000176681.14","LRRC37A",3.77384244974886,0.0157912970396663,0.000160752301411968,0.207471502140987,0.558404588779429,2.46910418500623e-32,NA,36,39,39,0.00785555777483814
"ENSG00000063978.15","RNF4",-3.7723598384432,-0.11801115613099,0.000161710810673152,0.00335676071294844,0.0963815995835351,0.000127478868383473,NA,5,5,5,0.00785555777483814
"ENSG00000255595.2","RP4-809F18.1",-3.77113774394052,-0.0195236566690375,0.000162504936363289,0.133756470629859,0.41958640156176,1.81031189456153e-22,NA,43,44,44,0.00785555777483814
"ENSG00000204351.11","SKIV2L",-3.73912686609283,-0.0555589987326571,0.000184660522369815,0.0162475896557086,0.196540368689449,9.34661333265439e-09,NA,30,30,30,0.0088326043541941
"ENSG00000164978.17","NUDT2",-3.70850468439253,-0.0334191950656479,0.000208486804254441,0.0432581291705834,0.292329390267598,9.4097537099163e-15,NA,35,36,36,0.00986837540137687
"ENSG00000198056.13","PRIM1",3.70356238138921,0.0642936976124723,0.00021259287287744,0.0148021022909543,0.122274423465536,8.44146998719693e-06,NA,14,14,14,0.0098744471831271
"ENSG00000196652.11","ZKSCAN5",3.70312339866022,0.0586308983642591,0.000212961228861456,0.0158696474869851,0.0959257116092452,8.96474862402426e-05,NA,14,14,14,0.0098744471831271
"ENSG00000108559.11","NUP88",3.69267017816764,0.186686009111495,0.0002219117469185,0.00163177497472295,0.0265932884949139,0.0472974494855779,NA,4,4,4,0.0101855250302794
"ENSG00000186468.12","RPS23",-3.67137296290354,-0.019912773289348,0.000241250985702828,0.107963152617752,0.480749914753016,1.30852573526002e-25,NA,67,68,68,0.0108949691581326
"ENSG00000223572.9","CKMT1A",3.67040790843289,0.14801237270029,0.000242163707079973,0.0020838400038055,0.0580513815137909,0.00323391561880566,NA,5,5,5,0.0108949691581326
"ENSG00000119878.5","CRIPT",-3.66209653282813,-0.0344146201385348,0.000250159553381461,0.0394552111229487,0.267492638422696,6.81348315356497e-12,NA,32,32,32,0.0110569230117222
"ENSG00000143318.12","CASQ1",3.66161523968689,0.0259049352516033,0.000250630077070287,0.0824678748685134,0.507939278126114,6.33883744776637e-28,NA,17,17,17,0.0110569230117222
"ENSG00000196365.11","LONP1",3.65087668252831,0.0366020832456708,0.000261346707982148,0.0365822230647508,0.274227295984499,2.45742824104623e-12,NA,19,19,19,0.0113551466197191
"ENSG00000135632.11","SMYD5",3.64985552065758,0.176554568954184,0.000262387851027839,0.00144712568753462,0.0631187734478672,0.00211248326481087,NA,2,2,2,0.0113551466197191
"ENSG00000245149.3","RNF139-AS1",-3.63029275890548,-0.0291968768735808,0.000283099933645095,0.053351454624299,0.202987118279016,4.53206701801615e-09,NA,53,53,53,0.0121359065894652
"ENSG00000106636.7","YKT6",3.62648444141686,0.0624913116190418,0.000287306121956938,0.0125885893550249,0.132068861338277,4.85319065518353e-06,NA,44,44,44,0.0121899233213971
"ENSG00000163320.10","CGGBP1",3.62431770095843,0.099912264708815,0.000289725290209261,0.00468039349904214,0.0867497541085834,0.0001198965148498,NA,6,6,6,0.0121899233213971
"ENSG00000182628.12","SKA2",3.57607949507323,0.110331639828374,0.000348785629869394,0.00371630916135567,0.0863731925644408,0.000160448267398559,NA,13,13,13,0.0144141143168719
"ENSG00000272505.1","RP11-981G7.6",3.57596883267836,0.0376620466772918,0.000348933225100333,0.0342308966146553,0.36785522141888,1.22953662567422e-17,NA,31,31,31,0.0144141143168719
"ENSG00000128408.8","RIBC2",3.57147887701283,0.029420144769366,0.000354971181115182,0.0583663374104532,0.145925054231976,1.27334868033906e-06,NA,25,25,25,0.0145314328557422
"ENSG00000275765.5","RP11-54C4.3",3.5563806663287,0.0346223588843164,0.000375999154065514,0.0368873574969621,0.286012328680657,8.98712996171834e-13,NA,26,26,26,0.0152548228220866
