gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000114737.11,CISH,4.946294578578437,0.1092179139983148,7.563946793645935e-07,0.006829675858424189,0.00537604520643973,0.0259910980021436,0.0353937915412,21,21.0,21
ENSG00000164972.8,C9orf24,4.944049254746252,0.0893605591937746,7.651635782720629e-07,0.01037067651491638,0.0175063958239853,5.58117774213975e-05,9.1056226981e-05,10,10.0,10
ENSG00000073614.7,KDM5A,4.930348483453603,0.020422481764662992,8.208305954568911e-07,0.22264832059131257,0.197797361423459,5.50310305121976e-46,2.87054931832e-45,94,95.0,96
ENSG00000127483.13,HP1BP3,-4.924607055987433,-0.15317631208205798,8.453004139900561e-07,0.003775711523953138,0.0106002021439783,0.00174614434523093,0.00260016587575,11,11.0,11
ENSG00000214706.6,IFRD2,-4.917431607391964,-0.07895724930200083,8.76870772579167e-07,0.013361489154222025,0.0124123238001755,0.000701766136129385,0.00107426334019,7,7.0,7
ENSG00000165689.12,SDCCAG3,-4.888292328757579,-0.017437036611509606,1.0171441771953851e-06,0.23869796148019398,0.307096414728748,2.42508115822379e-75,2.13365022946e-74,55,56.0,56
ENSG00000152348.11,ATG10,4.8805327772632365,0.014009832517915983,1.057996271583947e-06,0.4059851871484618,0.608329016806193,1.86809640282059e-189,7.8110151497e-188,27,27.0,29
ENSG00000173621.8,LRFN4,-4.825247270290392,-0.0147413404832155,1.3982967563023782e-06,0.39169776855784394,0.414159117245657,6.1564662106974e-109,9.09045027591e-108,34,34.0,34
ENSG00000145391.8,SETD7,-4.80831215524983,-0.2988955788907222,1.5220996050145446e-06,0.0008366404546742192,0.000934444964282304,0.35384393211411,0.432005786974,4,4.0,4
ENSG00000143379.8,SETDB1,4.775328211328071,0.1023015423417334,1.7941439396569951e-06,0.008813487655356039,0.00297046101048818,0.0981466542429842,0.127108120259,16,16.0,16
ENSG00000186017.10,ZNF566,4.774059727435533,0.0294798443022243,1.8054879719674995e-06,0.09063411900344152,0.0984586294477348,1.63115055967953e-22,5.08855613964e-22,43,43.0,43
ENSG00000010379.11,SLC6A13,4.761499611211749,0.061864406592954266,1.9215966896592264e-06,0.022927924689175243,0.0301168409197068,1.14136445929992e-07,2.13535671782e-07,11,11.0,11
ENSG00000187796.9,CARD9,4.759094696301925,0.017451589478362135,1.9446319120196945e-06,0.23601383677160925,0.303642045111812,2.40238428048765e-74,2.0707986491e-73,14,14.0,14
ENSG00000070047.7,PHRF1,-4.7534241676330575,-0.5048733028642671,2.0000013973090893e-06,0.00032452122408165295,0.00103277399922929,0.329687075823885,0.403973251063,1,1.0,1
ENSG00000152689.13,RASGRP3,-4.7474346007534765,-0.07221461169263615,2.060129713249244e-06,0.016383373990139873,0.03999447053865,8.99899129288331e-10,1.83703834964e-09,9,9.0,10
ENSG00000006125.12,AP2B1,4.745858595995514,0.06960355778987666,2.076237253148146e-06,0.018017405219382474,0.0137606751906796,0.000357761916452804,0.000556983711773,27,27.0,27
ENSG00000111011.13,RSRC2,4.728730416453384,0.12022937192393209,2.2592812798733148e-06,0.005502189478884643,0.00808119055161368,0.00630553811258383,0.00901837794341,4,4.0,4
ENSG00000163026.7,C2orf44,-4.721977780302596,-0.11397858450912668,2.3356220412086072e-06,0.006221780545977152,0.00714932177487837,0.0102126864943424,0.0143939319226,6,6.0,7
ENSG00000140105.13,WARS,4.720220071274037,0.014237014280645796,2.35589617112764e-06,0.39504679873765736,0.463256448162454,1.90203184496089e-126,3.60974948559e-125,26,26.0,26
ENSG00000074755.10,ZZEF1,4.715181399705129,0.044726362074506316,2.4149549999812234e-06,0.04047325869935218,0.0434239560232881,1.66806563412504e-10,3.52281048635e-10,43,43.0,43
ENSG00000189007.11,ADAT2,4.69641382412332,0.036912095111170946,2.6476886324536674e-06,0.05920606356632713,0.10146304153608,3.46125065534569e-23,1.09824457677e-22,22,23.0,23
ENSG00000162929.9,KIAA1841,-4.68634000102504,-0.22904890023315774,2.781340665890099e-06,0.0017365433478301652,5.41847968911388e-05,0.823369325427509,0.953538853883,7,7.0,7
ENSG00000175182.9,FAM131A,-4.683850705083428,-0.11489851990916818,2.8153510297293287e-06,0.005732378729319043,0.00967935558356746,0.00278454597010454,0.00409276363935,8,8.0,8
ENSG00000148384.11,INPP5E,-4.6828415470125675,-0.03077303876835698,2.8292521720129273e-06,0.07379618107329747,0.109591942275206,5.096475250751e-25,1.69167529052e-24,31,31.0,31
