gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000127483.13,HP1BP3,-4.92460705598743,-0.153176312082058,8.45300413990056e-07,0.00377571152395314,0.0106002021439783,0.00174614434523093,0.00260016587575,11,11,11
ENSG00000214706.6,IFRD2,-4.91743160739196,-0.0789572493020008,8.76870772579167e-07,0.013361489154222,0.0124123238001755,0.000701766136129385,0.00107426334019,7,7,7
ENSG00000165689.12,SDCCAG3,-4.88829232875758,-0.0174370366115096,1.01714417719539e-06,0.238697961480194,0.307096414728748,2.42508115822379e-75,2.13365022946e-74,55,56,56
ENSG00000152348.11,ATG10,4.88053277726324,0.014009832517916,1.05799627158395e-06,0.405985187148462,0.608329016806193,1.86809640282059e-189,7.8110151497e-188,27,27,29
ENSG00000173621.8,LRFN4,-4.82524727029039,-0.0147413404832155,1.39829675630238e-06,0.391697768557844,0.414159117245657,6.1564662106974e-109,9.09045027591e-108,34,34,34
ENSG00000145391.8,SETD7,-4.80831215524983,-0.298895578890722,1.52209960501454e-06,0.000836640454674219,0.000934444964282304,0.35384393211411,0.432005786974,4,4,4
ENSG00000143379.8,SETDB1,4.77532821132807,0.102301542341733,1.794143939657e-06,0.00881348765535604,0.00297046101048818,0.0981466542429842,0.127108120259,16,16,16
ENSG00000186017.10,ZNF566,4.77405972743553,0.0294798443022243,1.8054879719675e-06,0.0906341190034415,0.0984586294477348,1.63115055967953e-22,5.08855613964e-22,43,43,43
ENSG00000010379.11,SLC6A13,4.76149961121175,0.0618644065929543,1.92159668965923e-06,0.0229279246891752,0.0301168409197068,1.14136445929992e-07,2.13535671782e-07,11,11,11
ENSG00000187796.9,CARD9,4.75909469630193,0.0174515894783621,1.94463191201969e-06,0.236013836771609,0.303642045111812,2.40238428048765e-74,2.0707986491e-73,14,14,14
ENSG00000070047.7,PHRF1,-4.75342416763306,-0.504873302864267,2.00000139730909e-06,0.000324521224081653,0.00103277399922929,0.329687075823885,0.403973251063,1,1,1
ENSG00000152689.13,RASGRP3,-4.74743460075348,-0.0722146116926362,2.06012971324924e-06,0.0163833739901399,0.03999447053865,8.99899129288331e-10,1.83703834964e-09,9,9,10
ENSG00000006125.12,AP2B1,4.74585859599551,0.0696035577898767,2.07623725314815e-06,0.0180174052193825,0.0137606751906796,0.000357761916452804,0.000556983711773,27,27,27
ENSG00000111011.13,RSRC2,4.72873041645338,0.120229371923932,2.25928127987332e-06,0.00550218947888464,0.00808119055161368,0.00630553811258383,0.00901837794341,4,4,4
ENSG00000163026.7,C2orf44,-4.7219777803026,-0.113978584509127,2.33562204120861e-06,0.00622178054597715,0.00714932177487837,0.0102126864943424,0.0143939319226,6,6,7
ENSG00000140105.13,WARS,4.72022007127404,0.0142370142806458,2.35589617112764e-06,0.395046798737657,0.463256448162454,1.90203184496089e-126,3.60974948559e-125,26,26,26
ENSG00000074755.10,ZZEF1,4.71518139970513,0.0447263620745063,2.41495499998122e-06,0.0404732586993522,0.0434239560232881,1.66806563412504e-10,3.52281048635e-10,43,43,43
ENSG00000189007.11,ADAT2,4.69641382412332,0.0369120951111709,2.64768863245367e-06,0.0592060635663271,0.10146304153608,3.46125065534569e-23,1.09824457677e-22,22,23,23
ENSG00000162929.9,KIAA1841,-4.68634000102504,-0.229048900233158,2.7813406658901e-06,0.00173654334783017,5.41847968911388e-05,0.823369325427509,0.953538853883,7,7,7
ENSG00000175182.9,FAM131A,-4.68385070508343,-0.114898519909168,2.81535102972933e-06,0.00573237872931904,0.00967935558356746,0.00278454597010454,0.00409276363935,8,8,8
ENSG00000148384.11,INPP5E,-4.68284154701257,-0.030773038768357,2.82925217201293e-06,0.0737961810732975,0.109591942275206,5.096475250751e-25,1.69167529052e-24,31,31,31
ENSG00000177119.11,ANO6,4.68170078907424,0.232267764590677,2.84504540559443e-06,0.00158823903822066,0.00110168192567129,0.314052641096221,0.385857027601,4,4,4
ENSG00000161048.7,NAPEPLD,4.65928782835101,0.0644457831163894,3.1730526361495e-06,0.0192246171957985,0.0113139579097947,0.00121822990787434,0.00183437820014,32,33,34
ENSG00000119878.5,CRIPT,-4.65242742981509,-0.0197005093310182,3.28050204892188e-06,0.20785614919507,0.269185329843874,1.13493487779351e-64,8.4026010542e-64,19,19,19
ENSG00000204314.6,PRRT1,4.65224724487039,0.0738068264500239,3.2833706554971e-06,0.0128171724381044,0.0150016980475685,0.000192943499952074,0.000304743834737,27,29,30
ENSG00000170852.6,KBTBD2,4.63856982271502,0.0214548022554269,3.50828414652634e-06,0.185026406167612,0.24413052035429,6.45956435218951e-58,4.2731753934e-57,27,27,28
KIAA1530,KIAA1530,4.63732959300977,0.0140560019655237,3.5293937564233e-06,0.397716616332284,0.345411867499159,9.89031185661456e-87,1.06079232462e-85,159,160,163
ENSG00000107338.8,SHB,-4.63135086356585,-0.0276801634899042,3.63287631738666e-06,0.107094526289038,0.112225572009659,1.28956408203222e-25,4.35397296192e-25,47,48,48
ENSG00000174903.10,RAB1B,-4.63043367047219,-0.246413010793072,3.64900664285488e-06,0.00135416521205387,0.000165438418589517,0.696505042223191,0.814857693296,3,3,3
ENSG00000167130.13,DOLPP1,-4.60457503784793,-0.143121586905541,4.13308973235854e-06,0.00359029085302591,0.00032984742012607,0.581793100369819,0.68937867938,20,20,20
ENSG00000170921.10,TANC2,4.60063588332769,0.0202285579471234,4.21203145195618e-06,0.187698263810675,0.204590246967709,1.08266148679197e-47,5.85855975453e-47,30,30,31
ENSG00000159692.11,CTBP1,-4.59653995904316,-0.0496512198136227,4.29564622842026e-06,0.0317485913730769,0.0133904591536899,0.000430320153041318,0.000666558477679,46,46,46
ENSG00000148396.14,SEC16A,-4.59537651507634,-0.0262519506396639,4.31968550039499e-06,0.0990032287698518,0.135620576988207,5.43058156447307e-31,2.0938580148e-30,47,47,48
ENSG00000171467.11,ZNF318,4.595257659175,0.0457068095179424,4.32214856467935e-06,0.0353313419887324,0.0725382651322932,8.70918580964723e-17,2.29233985409e-16,10,10,10
ENSG00000167588.8,GPD1,4.56443081588405,0.55993321372887,5.00851331230514e-06,0.000234299955092959,0.00238389381166283,0.138494454660947,0.176806286938,4,4,4
ENSG00000173209.17,AHSA2,-4.56087823370266,-0.011721396567877,5.09401158596829e-06,0.56966069867949,0.675568510775389,4.18261177593541e-227,2.81067243372e-225,47,47,47
ENSG00000104228.8,TRIM35,4.53537647811309,0.0146457892905677,5.75008233400615e-06,0.339991451907168,0.401420842845782,1.23982441448039e-104,1.73535891213e-103,39,39,39
ENSG00000138078.11,PREPL,4.53113434684201,0.0337900253227757,5.86678126143306e-06,0.0639956790960234,0.0986141938368913,1.50550928079309e-22,4.69994376329e-22,11,11,11
ENSG00000173531.11,MST1,4.52411937667134,0.0291239000514162,6.06474881538194e-06,0.0857682519978489,0.0333146159899297,2.38258670404323e-08,4.58586138813e-08,70,71,72
