gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000101353.14,MROH8,-0.727625892308804,-0.00566938476148221,0.466842626256311,0.0587580988801135,0.195153991426824,1.34201919852297e-08,,39,41,41
ENSG00000163749.17,CCDC158,-0.72650479124197,-0.0171573892801214,0.467529371359007,0.00585778468412566,0.0735476969180925,0.000767588339024496,,11,11,11
ENSG00000090054.13,SPTLC1,0.726432834834527,0.0115993546655403,0.467573468310926,0.0153123126297002,0.154724851068659,6.40110685531384e-07,,60,60,60
ENSG00000125827.8,TMX4,0.726089926221712,0.0356974972157392,0.467783644216428,0.00167478419157105,0.0722281562075019,0.000894879800686589,,10,10,10
ENSG00000180263.13,FGD6,0.725494416735945,0.0329383322548471,0.46814876887296,0.00146609631482254,0.03603050048572,0.0209279875614626,,15,15,15
ENSG00000155324.9,GRAMD3,0.725107119849424,0.0199228771372097,0.468386316844785,0.00238163508489268,0.0517988770714034,0.00481821590863594,,20,20,20
ENSG00000164961.15,WASHC5,0.724790126833557,0.0102740468470125,0.46858079369497,0.013189204906831,0.0346742290586242,0.0221116858611803,,37,37,37
ENSG00000100033.16,PRODH,-0.723905647121117,-0.0169721553429652,0.469123662824843,0.00437985162066714,0.04005583908503,0.0146982427537978,,28,28,28
ENSG00000067221.13,STOML1,-0.72353431216177,-0.0213901770646387,0.469351681572198,0.00290479599434236,0.109265209231895,2.9275643946398e-05,,37,38,38
ENSG00000248161.5,RP11-499E18.1,0.722377369418855,0.00544505406873146,0.470062496633509,0.0362633818270229,0.184752481406044,1.78431270426646e-08,,48,48,48
ENSG00000165684.4,SNAPC4,0.722284276406857,0.0175080741871516,0.470119717970931,0.00552165561662789,0.154020070618597,4.3255341304056e-07,,19,19,19
ENSG00000254973.1,RP11-429J17.7,-0.722217058371734,-0.013681043237169,0.470161037168549,0.0142231387922409,0.0330989656734741,0.0277153819904317,,23,23,23
ENSG00000128284.19,APOL3,0.722144058339784,0.0112825773749356,0.470205912855134,0.0165634244153356,0.0969341721147608,0.000117622996072894,,37,37,37
ENSG00000126001.15,CEP250,-0.721800905729605,-0.011208223262601,0.470416892527312,0.0185712814051892,0.196852554007701,1.01877392899456e-08,,57,57,57
ENSG00000256001.1,RP11-575F12.2,-0.721694657721627,-0.00897645524976965,0.470482227324491,0.0305216936594207,0.0264656157320588,0.0485242609515921,,42,43,43
ENSG00000198590.11,C3orf35,0.721595269870314,0.0210859946837475,0.470543348159482,0.00444685010209311,0.0416269341119971,0.0115738598636254,,5,5,5
ENSG00000223496.2,EXOSC6,-0.721496238742412,-0.00539603137342615,0.470604253979281,0.0636069248552622,0.472276145713914,1.00723793560753e-23,,16,17,17
ENSG00000106484.14,MEST,-0.721412046445376,-0.00666189379529839,0.470656037089586,0.0285927378003432,0.0275751634399804,0.0357443232510566,,53,53,53
ENSG00000133597.10,ADCK2,-0.721377853554483,-0.0111341732233878,0.470677068584336,0.0137000778649802,0.0956695921491588,0.000137208950218538,,41,41,41
ENSG00000177042.14,TMEM80,0.721180248122396,0.00300327193612152,0.470798622654685,0.184322555922929,0.598384736888454,4.36119860069692e-36,,24,24,24
ENSG00000152292.16,SH2D6,0.720911048856149,0.00979061104136874,0.470964244492545,0.0216167647615162,0.0702808307551364,0.00115470464367324,,34,34,34
ENSG00000162975.4,KCNF1,0.720200360492019,0.0420793694059125,0.471401641996974,0.000836105895531939,0.059154666102526,0.00314476008098397,,18,18,18
ENSG00000240344.8,PPIL3,-0.719668064659297,-0.00381532660669238,0.471729393404709,0.151311712912766,0.462664873383204,1.35466292032005e-23,,36,36,36
ENSG00000115085.13,ZAP70,-0.719096348348152,-0.00758158399119285,0.472081557120828,0.0366494804996767,0.0683482383467737,0.000870848540907498,,40,43,43
ENSG00000260911.2,RP11-196G11.2,-0.718969571586205,-0.0132348105339241,0.472159668223628,0.0123571086309722,0.0413527911391285,0.0125829442138946,,25,25,25
ENSG00000058404.19,CAMK2B,0.71790176513148,0.0222573672296036,0.472817859445934,0.00437496958211126,0.0550601341147446,0.00404267144127934,,6,6,6
ENSG00000185088.13,RPS27L,0.71759139397588,0.0180408023182838,0.473009265560803,0.00903995028742942,0.193785389247027,1.77494389304688e-09,,20,20,20
ENSG00000272983.1,RP11-508N22.12,0.71728607489377,0.00339333129836668,0.473197597657687,0.103023330870408,0.333732352033982,1.80464350168411e-15,,106,107,107
ENSG00000168505.6,GBX2,0.717132178261414,0.00507620439747708,0.473292542426331,0.0488470753616765,0.15428221398754,6.99485514348953e-07,,12,12,12
ENSG00000231427.5,LINC01445,0.716851461119962,0.0142506745987593,0.473465754648306,0.0085749420096352,0.0477599459167333,0.00753702018241389,,19,19,19
ENSG00000154856.12,APCDD1,-0.716287264812439,-0.0235277050214383,0.473813988788037,0.0033300755161492,0.0578395026537299,0.0033002757458014,,23,23,23
ENSG00000139537.10,CCDC65,0.715773278675566,0.0070184858122037,0.474131354654422,0.0363469237437106,0.270376849717515,4.27351407145691e-12,,28,28,28
ENSG00000163126.14,ANKRD23,0.71450718622634,0.0180711839087107,0.474913614104718,0.00702720085202626,0.0345668674973664,0.0210789045448823,,12,12,12
